miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq
mmu-miR-92b-3p	312	339	296	222	290	560	758	762	706	612
mmu-miR-15b-3p	70	60	38	40	61	66	70	93	146	82
mmu-miR-18a-3p	13	18	28	21	0	17	15	15	29	14
mmu-miR-136-3p	53	34	30	31	35	65	75	105	149	46
mmu-miR-298-5p	71	63	64	44	58	154	159	198	259	81
mmu-miR-193b-5p	0	11	12	12	13	0	15	18	0	11
mmu-miR-186-5p	13094	10290	9562	6792	9130	8948	13588	11280	16521	10115
mmu-miR-342-5p	20	25	12	16	36	15	23	28	34	13
mmu-miR-582-5p	31	29	24	23	237	29	41	58	70	24
mmu-let-7i-5p	21620	20311	18477	12061	16372	25002	26755	28043	37775	19578
mmu-miR-340-5p	1365	756	821	579	843	1335	1090	1275	2372	836
mmu-miR-470-5p	30	19	22	13	31	20	29	20	28	18
mmu-miR-142a-5p	1953	907	894	1317	1208	1087	1246	1846	3862	1142
mmu-miR-361-5p	824	685	572	400	532	737	970	901	1123	643
mmu-miR-149-5p	12472	13274	12265	8516	10300	2590	16596	8921	7989	10921
mmu-miR-193a-5p	14	0	11	9	16	8	13	22	18	11
mmu-miR-148a-5p	247	174	154	99	150	232	223	262	349	185
mmu-miR-21a-5p	16020	15751	12473	9814	14717	44628	39963	67466	137223	29524
mmu-miR-423-5p	1913	2123	2620	1921	1817	1114	2865	2262	2147	1847
mmu-miR-224-5p	74	87	78	39	77	105	251	309	339	141
mmu-miR-1247-5p	127	112	133	97	93	403	676	774	1379	420
mmu-miR-25-5p	29	19	17	14	34	15	43	31	31	16
mmu-let-7e-5p	1812	1763	1725	954	1729	2027	3024	3025	3829	1701
mmu-miR-144-5p	1034	343	634	703	581	460	393	519	1169	508
mmu-miR-339-5p	306	314	222	155	250	219	396	341	417	238
mmu-miR-369-5p	16	20	21	13	12	16	15	32	35	25
mmu-miR-486a-5p	138276	142386	118791	80834	97532	142063	148879	92363	122235	108701
mmu-miR-98-5p	2456	2077	2017	1250	1459	2886	2658	2275	3768	1750
mmu-miR-143-5p	276	198	207	139	185	151	273	212	376	263
mmu-miR-130b-5p	27	52	27	25	29	32	30	33	32	29
mmu-miR-23b-5p	0	12	8	11	0	0	12	20	16	16
mmu-miR-24-1-5p	62	41	48	30	60	51	102	91	155	67
mmu-miR-708-5p	22	0	20	0	20	20	20	13	16	13
