miRNA	165_sham 1_R1.fastq	175_sham 2_R1.fastq	189_sham 3_R1.fastq	606_sham 4_R1.fastq	608_sham 5_R1.fastq	156_TAC 1_R1.fastq	157_TAC 2_R1.fastq	541_TAC 3_R1.fastq	612_TAC 4_R1.fastq	631_TAC 5_R1.fastq	533_TAC+PDE5AI 1_R1.fastq	536_TAC+PDE5AI 2_R1.fastq	627_TAC+PDE5AI 3_R1.fastq	647_TAC+PDE5AI 4_R1.fastq	697_TAC+PDE5AI 5_R1.fastq	151_TAC+PDE9AI 1_R1.fastq	528_TAC+PDE9AI 2_R1.fastq	529_TAC+PDE9AI 3_R1.fastq	531_TAC+PDE9AI 4_R1.fastq	542_TAC+PDE9AI 5_R1.fastq	676_TAC+PDE9AI 6_R1.fastq
mmu-miR-26a-5p	326194	240088	232060	148390	218840	255247	334649	282576	376927	225592	119138	151277	21656	15199	11960	389527	240777	259189	440916	24468	212817
mmu-miR-26b-3p	204	193	209	148	160	54	243	172	163	151	65	100	26	25	19	200	134	162	211	39	141
mmu-miR-26b-5p	31918	23667	20528	13320	18697	25013	25300	19984	30182	20354	6389	10583	907	592	394	28243	22406	19261	34729	944	17960
mmu-miR-27a-3p	24749	17600	16814	11805	17682	17418	27720	29961	44238	20788	6996	10863	1681	1336	1007	24192	23964	22829	33032	1552	15542
mmu-miR-27a-5p	90	117	78	39	71	59	79	128	92	66	58	57	23	32	27	145	54	75	109	34	81
mmu-miR-27b-3p	300097	220289	221518	143945	212371	424269	462856	497030	821510	345471	133071	197162	30526	23833	13830	404957	385784	428199	546718	29097	223768
mmu-miR-27b-5p	304	249	374	232	262	481	569	723	859	361	255	289	79	70	39	495	425	588	618	117	327
mmu-miR-28a-3p	622	634	573	358	548	717	875	759	987	648	563	709	338	308	193	766	632	892	947	293	454
mmu-miR-28a-5p	1362	1131	1295	804	1182	708	1831	1681	2027	1325	1275	1192	516	481	548	1807	1381	1675	1913	713	996
mmu-miR-296-5p	26	23	21	22	23	27	43	40	38	18	24	27	13	15	11	43	19	48	55	13	20
mmu-miR-298-5p	71	63	64	44	58	154	159	198	259	81	83	74	61	93	58	121	86	252	235	32	55
mmu-miR-299a-3p	20	16	0	0	15	25	21	20	19	16	8	0	0	0	0	23	16	21	37	0	11
mmu-miR-299a-5p	12	7	0	0	0	12	13	17	19	6	9	6	5	0	0	20	10	16	23	4	0
mmu-miR-299b-3p	0	3	8	5	9	14	10	11	13	8	6	0	0	0	0	15	4	9	19	0	6
mmu-miR-29a-3p	37967	32375	27334	19550	26855	13478	35760	29884	37010	26210	12858	17310	4964	3605	2951	37165	25266	26218	42439	4873	24561
mmu-miR-29a-5p	243	216	173	128	207	147	274	229	271	131	85	128	6	0	0	178	157	156	261	0	144
mmu-miR-29b-1-5p	23	19	15	13	21	14	21	15	11	11	13	5	5	0	0	16	11	26	11	4	18
mmu-miR-29b-2-5p	22	30	21	23	25	15	29	12	32	18	27	22	7	10	5	22	23	30	21	10	22
mmu-miR-29b-3p	684	445	410	326	469	196	534	638	842	442	44	116	12	8	14	521	490	399	797	15	380
mmu-miR-29c-3p	5599	3366	3950	3086	3828	1774	3942	2826	4046	3007	534	1157	73	47	54	3681	3747	2365	3830	127	3159
mmu-miR-29c-5p	96	90	80	37	69	39	78	74	88	61	37	60	13	10	9	67	57	59	76	9	54
mmu-miR-300-3p	129	143	129	81	123	227	277	364	446	233	118	136	32	29	39	223	124	285	451	39	94
mmu-miR-301a-3p	1678	1075	1040	756	1132	2229	1693	1685	3935	1430	132	305	34	38	57	2089	1850	1422	3518	17	1307
mmu-miR-301a-5p	17	10	0	13	15	7	14	16	20	7	0	8	0	0	0	19	15	20	23	0	14
mmu-miR-301b-3p	18	8	0	9	0	13	14	18	11	8	0	0	0	0	0	9	18	19	13	0	0
mmu-miR-3057-5p	177	174	189	133	137	164	188	148	149	124	133	188	89	79	52	136	163	178	143	112	159
mmu-miR-3058-3p	28	37	34	31	0	0	35	26	23	18	0	42	15	0	0	32	0	0	22	18	27
mmu-miR-3061-3p	76	47	48	39	45	70	80	72	103	41	33	63	7	0	0	52	45	59	53	11	46
