"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-125a-5p",35789.2848604863,1.21414646276865,0.268747164790124,4.51780194115474,6.2484889126125e-06,6.06272302602132e-05
"mmu-miR-126a-5p",58987.3472185615,-3.44016400722916,0.768133434112558,-4.47860209496499,7.51334344246339e-06,7.09813235748515e-05
"mmu-miR-582-3p",166.896143519751,-1.7463924062506,0.394135861044623,-4.43094013729666,9.38231349933312e-06,8.63653986220664e-05
"mmu-let-7d-3p",3848.85800682764,1.12697155365342,0.256151830987328,4.39962325980473,1.08438970633038e-05,9.55359953710888e-05
"mmu-miR-214-5p",215.178949334609,-0.947903972394672,0.215516559832195,-4.39828834096427,1.09107961287316e-05,9.55359953710888e-05
"mmu-miR-147-3p",16.9652519484887,-3.03476941966085,0.691859710994023,-4.38639419442516,1.15245184105397e-05,9.85071930805651e-05
"mmu-miR-27b-3p",193885.005440443,-1.71606232770057,0.396729498070185,-4.32552239258241,1.52170808754627e-05,0.000127044931030026
"mmu-miR-376c-3p",6.17571965239604,-3.74307718388058,0.87483022501395,-4.27863267278047,1.88044892484614e-05,0.000153427537277219
"mmu-miR-328-3p",3927.05945747241,1.38616368092734,0.329908982478811,4.20165486405441,2.64970889882889e-05,0.000211387887706572
"mmu-miR-425-3p",173.731658909277,0.866891746520594,0.207786432189652,4.1720324921377,3.01894573061969e-05,0.000235609025498363
"mmu-miR-450b-5p",54.3673897718604,-3.59852145394258,0.869518168171683,-4.13852359348525,3.49547931677519e-05,0.000266995122281339
"mmu-miR-1964-3p",90.8424414650166,1.14830375245838,0.27852550961412,4.12279562489368,3.74301774189342e-05,0.000274233340681579
"mmu-miR-338-3p",140.324191654498,-1.20846715331534,0.293026275673207,-4.12409143357185,3.72201029634716e-05,0.000274233340681579
"mmu-miR-19a-3p",22.9866459318272,-4.0553971014218,0.986323265482676,-4.11163078408904,3.92874222498049e-05,0.00028017164265507
"mmu-miR-99b-5p",15022.5003583432,0.682341758707028,0.166075304632965,4.10862867429349,3.98015425498846e-05,0.00028017164265507
"mmu-miR-26a-2-3p",8.41546291518277,-3.38064780750235,0.825169823489782,-4.09691158264249,4.18698729899911e-05,0.000283609139686921
"mmu-miR-874-3p",90.1987788444135,0.986331965876448,0.240533707178297,4.1005976977078,4.12084414899795e-05,0.000283609139686921
"mmu-miR-300-3p",138.085209126842,-0.904149566471974,0.221115997422112,-4.08902827933316,4.33184045201613e-05,0.000287987170791443
"mmu-miR-423-5p",2253.83938070058,1.46658713865958,0.36414593178478,4.02747088638732,5.63800460667443e-05,0.00036800793705384
"mmu-miR-324-3p",76.9863128138553,1.18475664991617,0.298150674745773,3.97368428203756,7.07693568827822e-05,0.000453682127159265
"mmu-miR-143-3p",215893.484231127,-2.55043279431245,0.644640824447523,-3.95636251628688,7.60996515947687e-05,0.00047929429688635
"mmu-miR-330-3p",64.7313243927909,1.17221426927077,0.298275003614894,3.92997822500817,8.49535546393545e-05,0.000509950950482735
"mmu-miR-29c-3p",1100.30520609257,-2.2600438882363,0.575191718790302,-3.92920102012151,8.52285711113207e-05,0.000509950950482735
"mmu-miR-1306-5p",28.0778135817005,1.33878107108427,0.340114521489195,3.93626554144881,8.27593969653443e-05,0.000509950950482735
"mmu-miR-146b-5p",523.357678850749,-2.26948704292881,0.582868650345971,-3.89365089644419,9.87467297633093e-05,0.000579957643297215
"mmu-miR-322-5p",2320.58837936051,-2.88222836763566,0.740893810309831,-3.89020440922615,0.000100159815834059,0.000579957643297215
"mmu-miR-423-3p",3080.80794280079,1.30208051875216,0.337052978035837,3.86313310845074,0.000111941970452989,0.000637891545914652
"mmu-miR-125b-2-3p",1432.10530578286,-0.952323053668839,0.247608564455261,-3.84608285163298,0.000120021193465346,0.000673243882094674
"mmu-miR-744-5p",1427.76060004885,1.29260146200822,0.336525671182209,3.84101889602458,0.000122524681319508,0.000676713239903127
"mmu-miR-1198-5p",1023.85352991,0.719898296428513,0.188540839768032,3.81826185411197,0.000134395233497218,0.000731028618568204
"mmu-miR-34c-5p",446.094885557836,-1.57194230538792,0.416235273481474,-3.77657158231662,0.000159001877752036,0.000851965285268373
"mmu-miR-542-3p",35.6509519420349,-3.31187081661199,0.883298424168752,-3.74943589390947,0.000177232794176691,0.000935684898668116
"mmu-miR-490-5p",38.2945912692987,1.2375119543908,0.330749551959594,3.74153781028243,0.000182897653497432,0.000938003680079687
"mmu-miR-208a-5p",384.223138286761,1.38070277002532,0.368931133113189,3.74244038006334,0.000182241779180683,0.000938003680079687
"mmu-miR-320-3p",2132.07120477739,1.3174420873032,0.352878450282115,3.73341609908438,0.000188900137877089,0.000955142950674296
"mmu-miR-106b-5p",124.918843167906,-1.78346861538658,0.478181247477744,-3.72969166982985,0.000191714224721782,0.000955908426043329
"mmu-miR-182-5p",67.0661318609414,-1.38637289283924,0.373780981760369,-3.70905145122671,0.000208037154410311,0.00102308682785345
"mmu-miR-93-3p",40.8243442128732,1.0103198953793,0.273207556293769,3.69799396870613,0.000217310051236367,0.00103236168124718
"mmu-miR-7a-1-3p",15.5565955065902,-2.50849081363488,0.67781331961814,-3.7008579516379,0.000214871740852026,0.00103236168124718
"mmu-miR-148a-5p",103.184047044684,-1.32056351840489,0.357242261303213,-3.6965489849591,0.000218550105222245,0.00103236168124718
"mmu-miR-361-3p",363.327227305387,0.744378759320653,0.202057592948195,3.68399300644694,0.000229608542902489,0.00104341097344295
"mmu-miR-877-3p",34.8847781122323,1.16178358098397,0.315119593293955,3.68680210849415,0.000227089811504965,0.00104341097344295
"mmu-miR-872-5p",190.324637542198,-2.3479289051123,0.636678790075424,-3.68777622517337,0.00022622245957202,0.00104341097344295
"mmu-miR-574-5p",115.231171707557,1.05059108355343,0.287084510533303,3.6595185215733,0.000252689579826364,0.00113394448947081
"mmu-miR-181c-3p",362.428166558382,-0.68167783642837,0.186881827458388,-3.64764110935374,0.000264658966027474,0.0011729946765909
"mmu-let-7c-1-3p",29.7798759638488,-2.32307099214993,0.638866846827508,-3.63623657055592,0.000276650279918428,0.00119659578904477
"mmu-miR-15b-3p",29.6309470240591,-3.03213239665998,0.833728853886226,-3.63683274547406,0.000276011023241718,0.00119659578904477
"mmu-miR-350-3p",27.0835349248878,-1.40283683446227,0.387031049060995,-3.62461057805516,0.000289397180879147,0.00123682842780493
"mmu-miR-700-5p",46.4020304461704,0.967443741758971,0.268006359579563,3.60977904881307,0.000306457935771908,0.00129433410520135
"mmu-miR-151-5p",13731.2654514871,0.688544847076738,0.191847953147764,3.58901325648447,0.000331931963839344,0.00138562296532936
"mmu-miR-877-5p",54.902592495122,1.47992131674981,0.417803834050344,3.54214393487706,0.000396888844820426,0.00163773672747739
"mmu-miR-27b-5p",267.134037600417,-0.884580148086659,0.250009752248816,-3.53818257139946,0.000402891379436904,0.00164030921989197
"mmu-miR-499-5p",1347.58708468557,-2.53240138755437,0.71623160430218,-3.53572974488004,0.000406650475126421,0.00164030921989197
"mmu-miR-34b-5p",20.6873443885766,-2.09156716744783,0.597539734157217,-3.50029805197445,0.000464738219720396,0.00183741819486263
"mmu-miR-24-2-5p",1306.68491817572,-1.79741682436224,0.513589183327714,-3.49971705540249,0.000465752244380222,0.00183741819486263
"mmu-miR-106b-3p",228.645858075482,0.901046995630471,0.25823250574464,3.48928572346928,0.000484313172632695,0.00188987422799062
"mmu-miR-1249-3p",260.419848445712,1.1158246262996,0.32036189709325,3.48301291890157,0.000495804438089768,0.00189355099227901
"mmu-miR-145a-3p",738.253911916636,-2.74486957610245,0.788040965252709,-3.48315594890708,0.000495539610294389,0.00189355099227901
