miRNA	PO1	PO2	PO3	PO4	PO5	PDE5.1	PDE5.2	PDE5.3	PDE5.4	PDE5.5
mmu-let-7g-3p	39	64	78	71	67	37	54	0	12	9
mmu-miR-152-3p	1401	1627	1629	2626	1273	586	733	77	53	0
mmu-miR-200b-3p	8	11	26	17	16	13	10	0	0	8
mmu-miR-300-3p	227	277	364	446	233	118	136	32	29	39
mmu-miR-673-3p	34	54	47	48	25	26	63	22	12	21
mmu-miR-666-3p	10	16	20	22	11	7	14	0	7	0
mmu-let-7d-3p	2330	5129	3974	4809	4257	3829	4227	2738	2899	2299
mmu-miR-19a-3p	61	64	60	143	52	11	0	0	0	0
mmu-miR-381-3p	180	207	196	268	215	65	86	14	14	11
mmu-miR-101b-3p	2470	2471	2227	3996	1752	187	428	14	17	12
mmu-miR-322-3p	744	1025	1055	1585	722	456	560	59	56	25
mmu-miR-107-3p	3008	3767	2986	3962	2532	2090	2456	798	724	375
mmu-miR-542-3p	135	93	70	207	51	12	21	0	0	0
mmu-miR-223-3p	432	699	831	982	683	128	178	16	13	6
mmu-miR-29c-3p	1774	3942	2826	4046	3007	534	1157	73	47	54
mmu-miR-3109-3p	14	17	20	33	17	11	18	0	4	0
mmu-miR-139-3p	44	82	67	48	47	48	64	26	40	45
mmu-miR-3065-3p	153	311	192	114	75	92	224	0	0	134
mmu-miR-329-3p	94	74	76	83	31	0	23	0	0	6
mmu-miR-106b-3p	239	341	258	305	191	206	238	148	179	128
mmu-miR-10b-3p	12	11	21	13	6	10	13	0	0	0
mmu-miR-7a-1-3p	32	67	37	67	34	10	11	0	0	0
mmu-miR-421-3p	272	319	371	471	243	167	177	28	20	11
mmu-miR-28a-3p	717	875	759	987	648	563	709	338	308	193
mmu-miR-26b-3p	54	243	172	163	151	65	100	26	25	19
mmu-miR-433-3p	41	48	56	45	20	31	42	16	22	35
mmu-miR-574-3p	542	1181	1295	1306	941	718	614	347	343	258
mmu-miR-191-3p	74	142	136	143	99	45	91	24	13	15
mmu-miR-324-3p	45	96	91	100	66	64	90	50	55	58
mmu-miR-133b-3p	8578	21745	14754	17688	9211	6453	8757	4943	3695	3345
mmu-let-7f-1-3p	132	235	189	279	198	0	91	0	0	0
mmu-miR-30a-3p	6253	7915	5692	7108	5726	3302	4461	1174	1040	677
mmu-miR-30c-2-3p	677	1034	730	732	686	696	680	307	322	287
mmu-miR-127-3p	15258	13627	16776	19882	10956	11737	7557	5029	6651	5773
mmu-miR-125b-2-3p	2482	3284	3455	4402	2473	1373	1620	388	312	221
mmu-miR-208b-3p	15264	10492	22439	34711	8218	1067	994	97	102	156
mmu-miR-410-3p	260	170	306	480	137	103	100	24	42	12
mmu-miR-744-3p	34	77	69	93	79	15	36	8	0	0
mmu-miR-210-3p	672	739	1178	1710	521	452	448	175	218	128
