	miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
160	mmu-miR-93-3p	36.0	32.0	37.0	26.0	50.0	21.0	68.0	51.0	51.0	42.0	42.0	74.0	31.0	27.0	15.0	60.0	41.0	57.0	55.0	18.0	28.0
161	mmu-miR-31-3p	28.0	21.0	0.0	20.0	24.0	14.0	13.0	28.0	20.0	8.0	0.0	10.0	0.0	0.0	0.0	15.0	14.0	9.0	23.0	0.0	17.0
162	mmu-let-7f-2-3p	551.0	345.0	337.0	0.0	340.0	334.0	402.0	458.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	378.0	0.0	290.0	374.0	0.0	242.0
163	mmu-miR-186-3p	20.0	0.0	15.0	17.0	13.0	11.0	16.0	10.0	22.0	9.0	11.0	14.0	0.0	0.0	0.0	17.0	15.0	14.0	11.0	0.0	16.0
164	mmu-miR-34c-3p	29.0	22.0	24.0	0.0	34.0	33.0	37.0	49.0	48.0	32.0	12.0	40.0	0.0	6.0	0.0	53.0	26.0	46.0	57.0	0.0	17.0
165	mmu-miR-140-3p	4843.0	3782.0	3465.0	2239.0	3716.0	8851.0	8703.0	11754.0	12126.0	8267.0	4984.0	4329.0	2456.0	4313.0	2834.0	12197.0	4463.0	9901.0	17423.0	2155.0	2972.0
166	mmu-miR-487b-3p	8.0	0.0	8.0	0.0	23.0	7.0	13.0	27.0	17.0	11.0	0.0	0.0	0.0	0.0	0.0	11.0	10.0	15.0	20.0	5.0	0.0
167	mmu-miR-126a-3p	70717.0	42742.0	47898.0	32898.0	42903.0	32164.0	53105.0	44467.0	81111.0	44330.0	22520.0	34624.0	2429.0	1209.0	598.0	53165.0	63901.0	44809.0	50711.0	3450.0	48514.0
168	mmu-miR-148b-3p	4082.0	3525.0	2998.0	2090.0	2959.0	4390.0	4314.0	3917.0	6247.0	3042.0	1633.0	1893.0	1027.0	1066.0	781.0	3707.0	3897.0	3936.0	4266.0	572.0	2744.0
169	mmu-miR-30c-2-3p	1063.0	1037.0	1184.0	687.0	832.0	677.0	1034.0	730.0	732.0	686.0	696.0	680.0	307.0	322.0	287.0	931.0	823.0	769.0	871.0	527.0	798.0
170	mmu-miR-320-3p	1571.0	1876.0	1836.0	982.0	1396.0	1360.0	2868.0	2163.0	2234.0	1755.0	2037.0	1667.0	1454.0	1491.0	1814.0	2526.0	1380.0	2342.0	3485.0	1577.0	1225.0
171	mmu-miR-350-3p	64.0	48.0	39.0	45.0	56.0	45.0	82.0	71.0	104.0	50.0	18.0	30.0	4.0	8.0	0.0	92.0	44.0	101.0	144.0	0.0	45.0
172	mmu-miR-99a-3p	127.0	105.0	95.0	67.0	95.0	196.0	208.0	260.0	217.0	169.0	68.0	93.0	22.0	20.0	18.0	196.0	144.0	201.0	418.0	25.0	98.0
173	mmu-miR-411-3p	20.0	16.0	24.0	11.0	23.0	32.0	32.0	42.0	61.0	30.0	14.0	9.0	2.0	6.0	0.0	26.0	36.0	36.0	54.0	0.0	15.0
174	mmu-miR-21a-3p	120.0	138.0	120.0	91.0	153.0	335.0	197.0	733.0	828.0	231.0	66.0	92.0	21.0	32.0	15.0	247.0	206.0	371.0	693.0	22.0	57.0
175	mmu-miR-203-3p	765.0	462.0	447.0	315.0	503.0	691.0	601.0	481.0	717.0	483.0	172.0	278.0	11.0	11.0	14.0	820.0	560.0	398.0	1049.0	26.0	428.0
176	mmu-miR-25-3p	7447.0	6241.0	5768.0	4170.0	5518.0	7158.0	8443.0	6628.0	8433.0	6225.0	3863.0	5155.0	1621.0	1412.0	701.0	7791.0	6421.0	7199.0	10245.0	1665.0	5002.0
177	mmu-miR-300-3p	129.0	143.0	129.0	81.0	123.0	227.0	277.0	364.0	446.0	233.0	118.0	136.0	32.0	29.0	39.0	223.0	124.0	285.0	451.0	39.0	94.0
178	mmu-miR-381-3p	153.0	114.0	140.0	85.0	120.0	180.0	207.0	196.0	268.0	215.0	65.0	86.0	14.0	14.0	11.0	181.0	124.0	262.0	314.0	25.0	91.0
179	mmu-miR-708-3p	38.0	0.0	30.0	0.0	34.0	34.0	38.0	32.0	0.0	18.0	13.0	0.0	0.0	0.0	0.0	38.0	20.0	0.0	44.0	0.0	0.0
180	mmu-miR-193a-3p	81.0	32.0	67.0	31.0	60.0	20.0	70.0	100.0	93.0	92.0	22.0	54.0	8.0	8.0	6.0	83.0	69.0	91.0	93.0	8.0	47.0
181	mmu-miR-145a-3p	3553.0	2129.0	2372.0	1704.0	2528.0	1267.0	2506.0	2029.0	2961.0	2210.0	304.0	680.0	20.0	9.0	12.0	2799.0	2800.0	1814.0	3402.0	38.0	2381.0
182	mmu-miR-673-3p	39.0	25.0	24.0	0.0	60.0	34.0	54.0	47.0	48.0	25.0	26.0	63.0	22.0	12.0	21.0	50.0	25.0	38.0	44.0	25.0	44.0
183	mmu-miR-342-3p	612.0	576.0	551.0	286.0	486.0	346.0	915.0	759.0	1093.0	631.0	424.0	539.0	216.0	205.0	151.0	752.0	646.0	749.0	1003.0	136.0	434.0
184	mmu-miR-218-1-3p	22.0	6.0	16.0	12.0	35.0	20.0	33.0	15.0	19.0	8.0	15.0	14.0	0.0	6.0	14.0	29.0	10.0	26.0	52.0	6.0	21.0
185	mmu-miR-574-3p	555.0	524.0	467.0	339.0	452.0	542.0	1181.0	1295.0	1306.0	941.0	718.0	614.0	347.0	343.0	258.0	1101.0	580.0	1284.0	1674.0	217.0	471.0
186	mmu-miR-22-3p	1483577.0	953804.0	1100406.0	730202.0	960698.0	725515.0	1203982.0	1040025.0	1596831.0	930324.0	552284.0	767291.0	194129.0	133533.0	95173.0	1254454.0	1130561.0	1055155.0	1320332.0	192824.0	998259.0
187	mmu-miR-30a-3p	8839.0	8127.0	7828.0	4756.0	6224.0	6253.0	7915.0	5692.0	7108.0	5726.0	3302.0	4461.0	1174.0	1040.0	677.0	7252.0	5986.0	5571.0	7879.0	1293.0	5457.0
188	mmu-miR-27b-3p	300097.0	220289.0	221518.0	143945.0	212371.0	424269.0	462856.0	497030.0	821510.0	345471.0	133071.0	197162.0	30526.0	23833.0	13830.0	404957.0	385784.0	428199.0	546718.0	29097.0	223768.0
189	mmu-miR-324-3p	66.0	72.0	67.0	48.0	69.0	45.0	96.0	91.0	100.0	66.0	64.0	90.0	50.0	55.0	58.0	90.0	60.0	100.0	160.0	43.0	53.0
190	mmu-miR-133b-3p	21219.0	18847.0	17012.0	11229.0	15003.0	8578.0	21745.0	14754.0	17688.0	9211.0	6453.0	8757.0	4943.0	3695.0	3345.0	9532.0	8926.0	9385.0	7807.0	3674.0	7906.0
191	mmu-miR-15b-3p	70.0	60.0	38.0	40.0	61.0	66.0	70.0	93.0	146.0	82.0	8.0	25.0	0.0	0.0	0.0	74.0	82.0	80.0	137.0	0.0	40.0
192	mmu-miR-322-3p	1075.0	732.0	772.0	529.0	732.0	744.0	1025.0	1055.0	1585.0	722.0	456.0	560.0	59.0	56.0	25.0	856.0	1061.0	915.0	893.0	95.0	787.0
193	mmu-miR-486a-5p	138276.0	142386.0	118791.0	80834.0	97532.0	142063.0	148879.0	92363.0	122235.0	108701.0	89404.0	95505.0	80395.0	69665.0	78216.0	88608.0	98081.0	114325.0	88835.0	82343.0	87091.0
194	mmu-miR-877-5p	52.0	40.0	41.0	30.0	39.0	23.0	46.0	68.0	68.0	42.0	50.0	47.0	35.0	36.0	55.0	65.0	44.0	64.0	71.0	35.0	38.0
195	mmu-miR-29a-5p	243.0	216.0	173.0	128.0	207.0	147.0	274.0	229.0	271.0	131.0	85.0	128.0	6.0	0.0	0.0	178.0	157.0	156.0	261.0	0.0	144.0
196	mmu-miR-199b-5p	204.0	203.0	133.0	113.0	210.0	246.0	532.0	664.0	824.0	435.0	71.0	126.0	15.0	19.0	10.0	640.0	325.0	592.0	1015.0	13.0	172.0
197	mmu-miR-503-5p	0.0	19.0	0.0	14.0	0.0	8.0	17.0	16.0	20.0	15.0	11.0	28.0	4.0	0.0	0.0	32.0	13.0	16.0	19.0	7.0	0.0
198	mmu-miR-100-5p	3972.0	3125.0	2748.0	1677.0	2605.0	3854.0	5556.0	4945.0	6076.0	4390.0	3295.0	3242.0	921.0	719.0	339.0	6455.0	3624.0	5809.0	8599.0	702.0	3188.0
199	mmu-miR-191-5p	50372.0	53008.0	43404.0	25692.0	38531.0	69411.0	66429.0	66290.0	90945.0	51868.0	40034.0	42925.0	18910.0	15559.0	8261.0	57679.0	46195.0	71117.0	66021.0	13032.0	32726.0
200	mmu-miR-505-5p	355.0	255.0	232.0	195.0	309.0	154.0	308.0	455.0	432.0	253.0	176.0	287.0	160.0	105.0	84.0	309.0	301.0	268.0	319.0	94.0	241.0
201	mmu-miR-106b-5p	423.0	243.0	260.0	206.0	289.0	196.0	392.0	306.0	573.0	248.0	81.0	145.0	11.0	13.0	8.0	302.0	438.0	280.0	511.0	8.0	281.0
202	mmu-miR-674-5p	201.0	263.0	215.0	165.0	263.0	118.0	403.0	320.0	399.0	249.0	253.0	286.0	162.0	171.0	143.0	340.0	280.0	356.0	369.0	155.0	182.0
203	mmu-miR-497a-5p	1594.0	1579.0	1479.0	1095.0	1671.0	1079.0	4229.0	4396.0	4344.0	2858.0	1437.0	1806.0	689.0	692.0	390.0	3708.0	2209.0	3677.0	4958.0	479.0	1391.0
204	mmu-miR-382-5p	19.0	14.0	16.0	16.0	16.0	24.0	23.0	20.0	16.0	8.0	25.0	22.0	0.0	14.0	7.0	27.0	11.0	34.0	43.0	5.0	11.0
205	mmu-miR-542-5p	35.0	33.0	32.0	23.0	23.0	28.0	43.0	39.0	48.0	28.0	23.0	20.0	15.0	13.0	5.0	35.0	31.0	30.0	32.0	8.0	22.0
206	mmu-miR-329-5p	36.0	16.0	26.0	23.0	34.0	28.0	41.0	54.0	54.0	28.0	26.0	28.0	11.0	10.0	23.0	47.0	24.0	46.0	66.0	10.0	28.0
207	mmu-miR-134-5p	28.0	25.0	39.0	21.0	36.0	46.0	58.0	70.0	90.0	48.0	46.0	34.0	9.0	19.0	19.0	57.0	18.0	60.0	112.0	7.0	26.0
208	mmu-let-7i-5p	21620.0	20311.0	18477.0	12061.0	16372.0	25002.0	26755.0	28043.0	37775.0	19578.0	12590.0	13883.0	3680.0	3332.0	1862.0	28198.0	20362.0	29092.0	46354.0	4236.0	16898.0
209	mmu-miR-874-5p	47.0	39.0	51.0	26.0	43.0	21.0	46.0	30.0	43.0	28.0	41.0	56.0	14.0	23.0	24.0	65.0	32.0	41.0	39.0	26.0	40.0
